customfield_10707                    Employee Name
customfield_10825                   [CHART] Date of First Response
customfield_10101                   [CHART] Time in Status
customfield_10666                   10th Board
customfield_10696                   10th Passing Year
customfield_10667                   12th Board
customfield_10697                   12th Passing Year
customfield_11041                   3rd Party Integrations
customfield_10702                   Aadhar Number
customfield_10282                   Acceptance Criteria
customfield_10338                   Access Category
customfield_10889                   Accolades Discription
customfield_10888                   Accolades Raised
customfield_10890                   Accolades Summary
customfield_10298                   Accomplishments
customfield_10215                   Account
customfield_14756                   Account Details
customfield_13561                   Account Holder Name
customfield_13565                   Account No
customfield_13278                   Account owner
customfield_10941                   Account Processor
customfield_14343                   Account Types
customfield_12755                   Accountable
customfield_12195                   Accrued Amount ($)
customfield_12578                   Accrued Amount Currency Type
customfield_14105                   Accrued Delivery Date
customfield_12453                   Accrued Hours
customfield_10385                   Achieved ROI (Lead Value)
customfield_10376                   Achieved ROI (No of Leads)
customfield_14755                   ACM-Parent
customfield_12949                   Activity Type
customfield_12157                   Actual
customfield_11728                   Actual Collection Amount
customfield_12000                   Actual Collection Amount in USD
customfield_11424                   Actual Collection Amount1
customfield_11465                   Actual Collection Amount2
customfield_11466                   Actual Collection Amount3
customfield_12557                   Actual Collection Conversion Rate 1
customfield_12558                   Actual Collection Conversion Rate 2
customfield_12559                   Actual Collection Conversion Rate 3
customfield_11999                   Actual Collection Currency Type
customfield_11800                   Actual Collection Date
customfield_11374                   Actual Collection Date1
customfield_11463                   Actual Collection Date2
customfield_11464                   Actual Collection Date3
customfield_11996                   Actual Collection Exchange Rate 1
customfield_11997                   Actual Collection Exchange Rate 2
customfield_11998                   Actual Collection Exchange Rate 3
customfield_10950                   Actual Cost of Resource
customfield_10465                   Actual Efforts(In Hours)
customfield_10490                   Actual End Date
customfield_14481                   Actual Milestone End Date
customfield_14480                   Actual Milestone Start Date
customfield_13781                   Actual OEM Due Date
customfield_10953                   Actual Project Cost
customfield_14479                   Actual Project End Date
customfield_14478                   Actual Project Start Date
customfield_10485                   Actual Start Date
customfield_10475                   Add Participant
customfield_10540                   Add Voters
customfield_10378                   Added Campaign Responses
customfield_10368                   Added CRM contacts
customfield_10387                   Added Leads
customfield_11301                   Additional Contacts
customfield_10914                   Additional Hours
customfield_10591                   Additional Implementors
customfield_10743                   Additional Offering Codes
customfield_10539                   Additional Reviewers
customfield_11071                   Address
customfield_10402                   Addteq's Expected Cost(USD)
customfield_10797                   Administrator
customfield_10600                   Adoption
customfield_10515                   Advance Amount
customfield_10573                   Affected hardware
customfield_10556                   Affected services
versions                            Affects versions
customfield_10630                   Agenda
customfield_10821                   All Child Issues Closed
customfield_10903                   Amount
customfield_10512                   Amount (in $)
customfield_10611                   Amount (INR)
customfield_16305                   Amount After Discount
customfield_10460                   Amount Received
customfield_14833                   AOP Product
customfield_11422                   AP Transaction Number 1
customfield_11426                   AP Transaction Number2
customfield_11427                   AP Transaction Number3
customfield_10883                   APM Ticket ID
customfield_10601                   Application
customfield_10651                   Approval Amount
customfield_10207                   Approvals
customfield_13188                   Approved & assigned Actual End Date
customfield_13189                   Approved & Assigned Approved By
customfield_13186                   Approved & assigned End Date
customfield_13185                   Approved & assigned Start Date
customfield_13187                   Approved & assignedActual Start Date
customfield_12885                   Approved Amount
customfield_13811                   Approved Date
customfield_10568                   Approver groups
customfield_10003                   Approvers
customfield_10243                   Approvers (migrated)
customfield_10654                   Approvers of Account Team
customfield_10790                   Approvers of Leadership Team
customfield_11381                   AR - Overdue in days
customfield_11369                   Are you uploading documents?
customfield_10690                   Area of Interest/Hobbies (Any 2)
customfield_11234                   ASQL Created
customfield_11100                   ASQL Lost Date
customfield_13777                   Assigned to Delivery Date
assignee                            Assignee
customfield_10909                   Association Count
customfield_10427                   Association Coverage
customfield_10910                   Associations
customfield_10340                   Assumptions
customfield_10640                   Atlassian Cloud Product/s
customfield_11269                   Atlassian project
customfield_11270                   Atlassian project status
attachment                          Attachment
customfield_10901                   Audience
customfield_13814                   Audience Type
customfield_11089                   Authority
customfield_10430                   Auto close
customfield_10812                   Auto-Plan to Customer Project
customfield_10283                   Automated Test
customfield_12391                   Avg Account Payable
customfield_11929                   Avg Account Receivable
